Date,Item,Total Cost,Frequency,Min Price,Max Price
2023-06-13,CONT SOUP CMB SC12,$29.62,1,$29.62,$29.62
2023-06-13,MILK COCONUT CHAOK 6/#10,$67.63,1,$67.63,$67.63
2023-06-13,PD POTATO RED A #2,$56.92,2,$28.46,$28.46
2023-06-13,PD YAM JEWEL JBO,$16.99,1,$16.99,$16.99
2023-06-13,PD MUSH CRIMINI 5#,$12.26,2,$-4.09,$16.35
2023-06-13,PD MUSH PORTABELLA,$26.62,2,$-8.88,$35.50
2023-06-13,PD BRUSSEL SPROUT,$43.77,2,$-14.59,$58.36
2023-06-13,Sub-Total,$592.37,1,$592.37,$592.37
2023-06-13,Tax,$51.09,1,$51.09,$51.09
2023-06-13,Total,$643.46,1,$643.46,$643.46
2023-06-13,DEBIT    6866,$643.46,1,$643.46,$643.46
2023-06-13,Balance,$0.00,1,$0.00,$0.00
2024-02-26,TOM PETITE DICED,$27.53,1,$27.53,$27.53
2024-02-26,Sub-Total,$27.53,1,$27.53,$27.53
2024-02-26,Tax,$2.37,1,$2.37,$2.37
2024-02-26,Total,$29.90,1,$29.90,$29.90
2024-02-26,DEBIT    6866,$-119.13,1,$-119.13,$-119.13
2024-02-26,Balance,$149.03,1,$149.03,$149.03
2023-05-23,"LC 6"" FRG BONING   KNIFE",$10.28,1,$10.28,$10.28
2023-05-23,"MNDL COOK KNF 8""",$16.69,1,$16.69,$16.69
2023-05-23,FIGS BLACK         28Z,$33.02,2,$15.54,$17.48
2023-05-23,HONEY EXTRA LT AMB,$71.99,1,$71.99,$71.99
2023-05-23,QUINOA WHITE       5#,$70.89,3,$23.63,$23.63
2023-05-23,SALT SEA FINE DD,$43.77,2,$21.01,$22.76
2023-05-23,DAWN ORIGINAL PUMP,$16.40,1,$16.40,$16.40
2023-05-23,PD BERRY RASPBERRY,$114.47,14,$-37.80,$38.79
2023-05-23,PD POTATO RED A #2,$56.86,2,$28.43,$28.43
2023-05-23,PD BROC CROWNS DW,$65.55,3,$21.85,$21.85
2023-05-23,PD YAM JEWEL JBO,$19.18,1,$19.18,$19.18
2023-05-23,CONT SOUP CMB SC24,$38.27,1,$38.27,$38.27
2023-05-23,CONT SOUP CMB SC12,$29.62,1,$29.62,$29.62
2023-05-23,FRY PAN COATED 14I,$152.80,4,$38.20,$38.20
2023-05-23,PD CABB GREEN SACK,$19.99,1,$19.99,$19.99
2023-05-23,CONT SOUP CMB SC16,$30.87,1,$30.87,$30.87
2023-05-23,SCE SWEET CHILI    32Z,$33.95,1,$33.95,$33.95
2023-05-23,CHILI DICED,$34.22,1,$34.22,$34.22
2023-05-23,PD LETT ROMAINE HT,$42.35,4,$-10.79,$43.15
2023-05-23,PD CARROT JMBO 25#,$26.66,2,$13.33,$13.33
2023-05-23,WELCHS FRUIT SNACK 2.25OZ,$80.30,8,$-33.04,$73.43
2023-05-23,CHX HAL LEG QTR SM,$118.40,4,$29.60,$29.60
2023-05-23,BF INS RND XT SEL  R/W,$525.01,3,$-16.11,$282.26
2023-05-23,CHX HAL BRST JMB,$405.60,6,$67.60,$67.60
2023-05-23,PD SQUASH ITALN MD,$53.70,3,$17.90,$17.90
2023-05-23,PD CELERY BULK,$35.58,1,$35.58,$35.58
2023-05-23,PD BRUSSEL SPROUT,$72.26,2,$36.13,$36.13
2023-05-23,Sub-Total,$2015.08,1,$2015.08,$2015.08
2023-05-23,Tax,$173.80,1,$173.80,$173.80
2023-05-23,Total,$2188.88,1,$2188.88,$2188.88
2023-05-23,DEBIT    6866,$2188.88,1,$2188.88,$2188.88
2023-05-23,Balance,$0.00,1,$0.00,$0.00
2024-03-05,FSH TUNA STEAK 4Z,$30.00,2,$-30.00,$60.00
2024-03-05,GLV EXAM NIT BL LG,$35.28,1,$35.28,$35.28
2024-03-05,PD BEAN GRN TRIMED,$38.72,3,$-17.40,$43.49
2024-03-05,QUINOA WHITE       5#,$46.08,1,$46.08,$46.08
2024-03-05,SALT IODIZED ROUND,$14.89,1,$14.89,$14.89
2024-03-05,CONT SOUP CMB SC16,$31.32,1,$31.32,$31.32
2024-03-05,CONT SOUP CMB SC12,$59.38,2,$29.69,$29.69
2024-03-05,CONT SOUP CMB SC24,$38.36,1,$38.36,$38.36
2024-03-05,FSH SALM PINK 6Z,$41.93,1,$41.93,$41.93
2024-03-05,SHRP P&D TO 16-20,$45.00,1,$45.00,$45.00
2024-03-05,DAWN-MSHD DGRSR,$23.33,1,$23.33,$23.33
2024-03-05,DAWN HVY DTY PUMP  1GAL,$25.67,1,$25.67,$25.67
2024-03-05,CHX BRST JMB,$391.20,6,$65.20,$65.20
2024-03-05,BF INS RDN XT CH   R/W,$654.27,5,$-21.95,$350.66
2024-03-05,CHX LEG QTR SM,$79.20,3,$26.40,$26.40
2024-03-05,BF INS RND XT SEL  R/W,$296.68,2,$-15.06,$311.74
2024-03-05,PD GARLIC SPAINPLD,$18.70,1,$18.70,$18.70
2024-03-05,PD SQUASH ITALN MD,$24.24,2,$12.12,$12.12
2024-03-05,PD PPR JALAPENO CS,$25.90,1,$25.90,$25.90
2024-03-05,PD TOMATILLO CS,$78.58,6,$-44.64,$44.64
2024-03-05,PD YAM JEWEL JBO,$18.19,1,$18.19,$18.19
2024-03-05,PD CELERY BULK,$23.46,1,$23.46,$23.46
2024-03-05,PD BROC CROWNS DW,$18.10,1,$18.10,$18.10
2024-03-05,PD PINEAPPLE LGE,$13.22,2,$-7.12,$20.34
2024-03-05,PD HRB MINT,$4.26,2,$-1.83,$6.09
2024-03-05,PD POTATO RED A #2,$37.00,2,$18.50,$18.50
2024-03-05,PD BEET SK 25 LB,$22.15,1,$22.15,$22.15
2024-03-05,PD ONION YEL JBO,$30.32,1,$30.32,$30.32
2024-03-05,PD ONION RED 25#,$21.60,1,$21.60,$21.60
2024-03-05,PD CABB GREEN SACK,$17.77,1,$17.77,$17.77
2024-03-05,PD CARROT JMBO 25#,$50.73,3,$16.91,$16.91
2024-03-05,Sub-Total,$1608.68,1,$1608.68,$1608.68
2024-03-05,Tax,$137.14,1,$137.14,$137.14
2024-03-05,Total,$1745.82,1,$1745.82,$1745.82
2024-03-05,DEBIT    6866,$1745.82,1,$1745.82,$1745.82
2024-03-05,Balance,$0.00,1,$0.00,$0.00
2024-04-29,PD SQUASH ITALN MD,$38.88,2,$-12.96,$51.84
2024-04-29,PD CELERY BULK,$18.10,2,$-6.03,$24.13
2024-04-29,PD POTATO RED A #2,$56.42,2,$28.21,$28.21
2024-04-29,PD YAM JEWEL JBO,$20.00,1,$20.00,$20.00
2024-04-29,PD CABB GREEN SACK,$17.32,1,$17.32,$17.32
2024-04-29,PD CUCUMBER SEL 72,$24.33,1,$24.33,$24.33
2024-04-29,PD BROC CROWNS DW,$73.41,3,$24.47,$24.47
2024-04-29,PD BEET SK 25 LB,$22.15,1,$22.15,$22.15
2024-04-29,PD BRUSSEL SPROUT,$28.25,1,$28.25,$28.25
2024-04-29,Sub-Total,$298.86,1,$298.86,$298.86
2024-04-29,Tax,$25.78,1,$25.78,$25.78
2024-04-29,Total,$324.64,1,$324.64,$324.64
2024-04-29,DEBIT    6866,$324.64,1,$324.64,$324.64
2024-04-29,Balance,$0.00,1,$0.00,$0.00
2023-10-31,PD GARLIC SPAINPLD,$0.00,2,$-17.35,$17.35
2023-10-31,Sub-Total,$0.00,1,$0.00,$0.00
2023-10-31,Tax,$0.00,1,$0.00,$0.00
2023-10-31,Total,$0.00,1,$0.00,$0.00
2023-10-31,CASH,$0.00,1,$0.00,$0.00
2023-10-31,Balance,$0.00,1,$0.00,$0.00
2023-08-16,PD CABB GREEN SACK,$21.48,1,$21.48,$21.48
2023-08-16,PD SQUASH ITALN MD,$92.25,1,$92.25,$92.25
2023-08-16,Sub-Total,$113.73,1,$113.73,$113.73
2023-08-16,Tax,$9.81,1,$9.81,$9.81
2023-08-16,Total,$123.54,1,$123.54,$123.54
2023-08-16,DEBIT    6866,$123.54,1,$123.54,$123.54
2023-08-16,Balance,$0.00,1,$0.00,$0.00
2023-07-21,GLOVE NITRILE MED,$4.90,1,$4.90,$4.90
2023-07-21,SAUCE FISH SQUID   25Z,$3.17,1,$3.17,$3.17
2023-07-21,QUINOA WHITE       5#,$47.26,2,$23.63,$23.63
2023-07-21,CONT SOUP CMB SC12,$29.62,1,$29.62,$29.62
2023-07-21,CHX BRST JMB,$314.40,6,$52.40,$52.40
2023-07-21,CHX HAL LEG QTR SM,$59.20,2,$29.60,$29.60
2023-07-21,SPC GARLIC GRAN    7#,$19.99,1,$19.99,$19.99
2023-07-21,SPC GRAN ONION     5#,$21.98,1,$21.98,$21.98
2023-07-21,BF INS RND XT SEL  R/W,$477.72,3,$-14.45,$262.13
2023-07-21,SALT KOSHER MORTON,$35.22,1,$35.22,$35.22
2023-07-21,Sub-Total,$1013.46,1,$1013.46,$1013.46
2023-07-21,Tax,$87.41,1,$87.41,$87.41
2023-07-21,Total,$1100.87,1,$1100.87,$1100.87
2023-07-21,MC/VISA  6866,$1100.87,1,$1100.87,$1100.87
2023-07-21,Balance,$0.00,1,$0.00,$0.00
2024-01-02,PD CARROT JMBO 25#,$50.64,3,$16.88,$16.88
2024-01-02,CHX BRST JMB,$184.00,4,$46.00,$46.00
2024-01-02,PD YAM JEWEL JBO,$18.57,1,$18.57,$18.57
2024-01-02,CHX LEG QTR SM,$73.20,3,$24.40,$24.40
2024-01-02,BF INS RND XT SEL  R/W,$202.57,2,$-13.78,$216.35
2024-01-02,DAWN HVY DTY PUMP  1GAL,$25.67,1,$25.67,$25.67
2024-01-02,FSH SALM PINK 6Z,$43.59,1,$43.59,$43.59
2024-01-02,FSH COD FLT 16-32,$115.00,1,$115.00,$115.00
2024-01-02,SHRP P&D TO 16-20,$13.59,1,$13.59,$13.59
2024-01-02,PD BROC CROWNS DW,$32.94,2,$16.47,$16.47
2024-01-02,PD SQUASH ITALN MD,$56.32,2,$28.16,$28.16
2024-01-02,PD BEET SK 25 LB,$22.15,1,$22.15,$22.15
2024-01-02,PD CELERY BULK,$26.11,1,$26.11,$26.11
2024-01-02,PDU MELON HONEY 2C,$15.76,2,$-8.48,$24.24
2024-01-02,PD POTATO RED A #2,$46.62,2,$23.31,$23.31
2024-01-02,Sub-Total,$926.73,1,$926.73,$926.73
2024-01-02,Tax,$79.93,1,$79.93,$79.93
2024-01-02,Total,$1006.66,1,$1006.66,$1006.66
2024-01-02,DEBIT    6866,$1006.66,1,$1006.66,$1006.66
2024-01-02,Balance,$0.00,1,$0.00,$0.00
2024-01-30,WELCHS FRUIT SNACK 2.25OZ,$40.39,2,$-33.04,$73.43
2024-01-30,PD PINEAPPLE LGE,$36.45,2,$-24.30,$60.75
2024-01-30,CONT SOUP CMB SC12,$29.69,1,$29.69,$29.69
2024-01-30,FIGS BLACK         28Z,$17.48,1,$17.48,$17.48
2024-01-30,QUINOA WHITE       5#,$46.08,2,$23.04,$23.04
2024-01-30,GLV EXAM NIT BL LG,$35.28,1,$35.28,$35.28
2024-01-30,Sub-Total,$205.37,1,$205.37,$205.37
2024-01-30,Tax,$17.71,1,$17.71,$17.71
2024-01-30,Total,$223.08,1,$223.08,$223.08
2024-01-30,DEBIT    6866,$223.08,1,$223.08,$223.08
2024-01-30,Balance,$0.00,1,$0.00,$0.00
2023-01-25,TOM SAUCE HUNTS,$36.34,1,$36.34,$36.34
2023-01-25,TOM PETITE DICED,$28.48,1,$28.48,$28.48
2023-01-25,Sub-Total,$64.82,1,$64.82,$64.82
2023-01-25,Tax,$5.59,1,$5.59,$5.59
2023-01-25,Total,$70.41,1,$70.41,$70.41
2023-01-25,DEBIT    0445,$70.41,1,$70.41,$70.41
2023-01-25,Balance,$0.00,1,$0.00,$0.00
2023-10-03,QUINOA WHITE       5#,$46.08,2,$23.04,$23.04
2023-10-03,SCRBBR STN/STL84CC,$8.61,1,$8.61,$8.61
2023-10-03,PD HRB ROSEMARY,$6.75,1,$6.75,$6.75
2023-10-03,ORANGE THUN CITRUS,$12.46,1,$12.46,$12.46
2023-10-03,PINE CLEANER,$7.29,1,$7.29,$7.29
2023-10-03,DAWN ORIGINAL PUMP,$16.40,1,$16.40,$16.40
2023-10-03,FABULOSO LAVENDER  169Z,$22.24,1,$22.24,$22.24
2023-10-03,TOWEL TERRY 75CT   75CT,$244.97,9,$21.99,$29.01
2023-10-03,BEAN BLACK,$19.52,3,$-19.52,$19.52
2023-10-03,RED LIGHT KIDNEY   25#,$45.20,2,$21.81,$23.39
2023-10-03,CONT SOUP CMB SC12,$29.69,1,$29.69,$29.69
2023-10-03,CONT SOUP CMB SC16,$31.32,1,$31.32,$31.32
2023-10-03,SPC GRAN ONION     5#,$17.99,1,$17.99,$17.99
2023-10-03,SPC GARLIC GRAN    7#,$24.31,1,$24.31,$24.31
2023-10-03,PD HRB THYME 1LB,$6.38,1,$6.38,$6.38
2023-10-03,PD HRB DILL 1LB,$6.68,1,$6.68,$6.68
2023-10-03,FRY PAN COATED 14I,$118.98,3,$39.66,$39.66
2023-10-03,TOM SAUCE HUNTS,$40.82,1,$40.82,$40.82
2023-10-03,TOM PETITE DICED,$27.53,1,$27.53,$27.53
2023-10-03,VINEGAR WHITE HENZ 1GL,$28.79,1,$28.79,$28.79
2023-10-03,SCE SWEET CHILI    32Z,$28.95,1,$28.95,$28.95
2023-10-03,WINE CKING SHERRY  4/1GL,$20.17,1,$20.17,$20.17
2023-10-03,CHILI DICED,$33.24,1,$33.24,$33.24
2023-10-03,PEPPER CHILI DRIED 6/5LB,$20.25,1,$20.25,$20.25
2023-10-03,CONT SOUP CMB SC32,$47.94,1,$47.94,$47.94
2023-10-03,PD TOMATO 25LB XL,$19.98,1,$19.98,$19.98
2023-10-03,SPC PEPR BLK GRND  5LB,$20.73,1,$20.73,$20.73
2023-10-03,Sub-Total,$713.92,1,$713.92,$713.92
2023-10-03,Tax,$61.58,1,$61.58,$61.58
2023-10-03,Total,$775.50,1,$775.50,$775.50
2023-10-03,DEBIT    6866,$775.50,1,$775.50,$775.50
2023-10-03,Balance,$0.00,1,$0.00,$0.00
2023-01-06,WINE CKING SHERRY  4/1GL,$19.28,1,$19.28,$19.28
2023-01-06,PD ONION RED 25#,$0.00,2,$-13.75,$13.75
2023-01-06,PD CARROT JMBO 25#,$24.02,2,$12.01,$12.01
2023-01-06,PEPPER CHIPOTLE,$10.86,1,$10.86,$10.86
2023-01-06,CHILI DICED,$33.14,1,$33.14,$33.14
2023-01-06,PD YAM JEWEL JBO,$35.28,2,$17.64,$17.64
2023-01-06,PD POTATO RED A #2,$54.18,2,$27.09,$27.09
2023-01-06,PD CELERY BULK,$62.79,1,$62.79,$62.79
2023-01-06,PD BROC CROWNS DW,$163.70,1,$163.70,$163.70
2023-01-06,PD SQUASH ITALN MD,$30.56,2,$15.28,$15.28
2023-01-06,Sub-Total,$433.81,1,$433.81,$433.81
2023-01-06,Tax,$37.42,1,$37.42,$37.42
2023-01-06,Total,$471.23,1,$471.23,$471.23
2023-01-06,DEBIT    0445,$471.23,1,$471.23,$471.23
2023-01-06,Balance,$0.00,1,$0.00,$0.00
2024-04-29,WINE CKING SHERRY  4/1GL,$6.54,1,$6.54,$6.54
2024-04-29,VALENTINA BLACK,$5.73,1,$5.73,$5.73
2024-04-29,HONEY EXTRA LT AMB,$26.38,4,$-60.35,$60.35
2024-04-29,TOM PETITE DICED,$6.27,1,$6.27,$6.27
2024-04-29,QUINOA WHITE       5#,$46.08,2,$23.04,$23.04
2024-04-29,SYRUP MOLASSES CQ,$19.00,1,$19.00,$19.00
2024-04-29,ORANGE THUN CITRUS,$12.78,1,$12.78,$12.78
2024-04-29,PD CARROT BAG 10#,$36.00,1,$36.00,$36.00
2024-04-29,BF INS RND XT SEL  R/W,$266.35,2,$-14.32,$280.67
2024-04-29,TOM SAUCE HUNTS,$39.99,1,$39.99,$39.99
2024-04-29,BEAN BLACK,$18.65,1,$18.65,$18.65
2024-04-29,CONT SOUP CMB SC12,$53.98,2,$26.99,$26.99
2024-04-29,CONT SOUP CMB SC16,$29.99,1,$29.99,$29.99
2024-04-29,CHX LEG QTR SM,$82.80,3,$27.60,$27.60
2024-04-29,CHX BRST JMB,$487.20,6,$81.20,$81.20
2024-04-29,PD MELON HONEY,$41.45,5,$-9.88,$21.90
2024-04-29,FSH SALM PINK 6Z,$42.76,1,$42.76,$42.76
2024-04-29,Sub-Total,$1202.40,1,$1202.40,$1202.40
2024-04-29,Tax,$103.71,1,$103.71,$103.71
2024-04-29,Total,$1306.11,1,$1306.11,$1306.11
2024-04-29,DEBIT    6866,$1306.11,1,$1306.11,$1306.11
2024-04-29,Balance,$0.00,1,$0.00,$0.00
2023-08-29,DICER 1/4IN GS     4150-A,$0.00,2,$-124.40,$124.40
2023-08-29,Sub-Total,$-124.40,1,$-124.40,$-124.40
2023-08-29,Tax,$-10.73,1,$-10.73,$-10.73
2023-08-29,Total,$-135.13,1,$-135.13,$-135.13
2023-08-29,IOU PAYMNT X3148,$-30.23,1,$-30.23,$-30.23
2023-08-29,Balance,$-104.90,1,$-104.90,$-104.90
2024-02-20,PD BRUSSEL SPROUT,$65.10,4,$-62.00,$93.00
2024-02-20,PD CILANTRO 1#,$0.00,2,$-5.19,$5.19
2024-02-20,PD BEET SK 25 LB,$22.15,1,$22.15,$22.15
2024-02-20,PD CARROT JMBO 25#,$14.14,1,$14.14,$14.14
2024-02-20,SHRP P&D TO 16-20,$51.63,1,$51.63,$51.63
2024-02-20,PD CABB GREEN SACK,$18.09,1,$18.09,$18.09
2024-02-20,PD YAM JEWEL JBO,$18.19,1,$18.19,$18.19
2024-02-20,PD POTATO RED A #2,$46.62,2,$23.31,$23.31
2024-02-20,PD BROC CROWNS DW,$47.61,1,$47.61,$47.61
2024-02-20,FSH FAROE SALM 8Z,$46.25,1,$46.25,$46.25
2024-02-20,PD SQUASH ITALN MD,$37.88,2,$18.94,$18.94
2024-02-20,PD CUCUMBER HH BLK,$0.00,2,$-24.80,$24.80
2024-02-20,Sub-Total,$367.66,1,$367.66,$367.66
2024-02-20,Tax,$31.71,1,$31.71,$31.71
2024-02-20,Total,$399.37,1,$399.37,$399.37
2024-02-20,DEBIT    6866,$399.37,1,$399.37,$399.37
2024-02-20,Balance,$0.00,1,$0.00,$0.00
2023-08-23,GLOVE NITRILE MED,$40.88,1,$40.88,$40.88
2023-08-23,DAWN HVY DTY PUMP  1GAL,$24.99,1,$24.99,$24.99
2023-08-23,PD CARROT JMBO 25#,$38.32,2,$19.16,$19.16
2023-08-23,DICER 1/4IN GS     4150-A,$124.40,1,$124.40,$124.40
2023-08-23,PD PPR BELL GREEN,$16.44,1,$16.44,$16.44
2023-08-23,PD POTATO RED A #2,$63.76,2,$31.88,$31.88
2023-08-23,PD YAM JEWEL JBO,$19.75,1,$19.75,$19.75
2023-08-23,CONT SOUP CMB SC12,$29.69,1,$29.69,$29.69
2023-08-23,PD CARROT BULK 50#,$19.42,1,$19.42,$19.42
2023-08-23,QUINOA WHITE       5#,$47.84,2,$23.92,$23.92
2023-08-23,WAR IMM BLENDER 10,$249.99,1,$249.99,$249.99
2023-08-23,PD SQUASH ITALN MD,$58.62,3,$19.54,$19.54
2023-08-23,PD BROC CROWNS DW,$98.04,4,$24.51,$24.51
2023-08-23,PD BRUSSEL SPROUT,$79.41,1,$79.41,$79.41
2023-08-23,PD PPR PASILLA CS,$23.35,2,$-15.56,$38.91
2023-08-23,PD CABB GREEN SACK,$10.74,2,$-10.74,$21.48
2023-08-23,Sub-Total,$945.64,1,$945.64,$945.64
2023-08-23,Tax,$81.56,1,$81.56,$81.56
2023-08-23,Total,$1027.20,1,$1027.20,$1027.20
2023-08-23,DEBIT    6866,$1027.20,1,$1027.20,$1027.20
2023-08-23,Balance,$0.00,1,$0.00,$0.00
2023-03-27,PD BROC CROWNS DW,$107.96,2,$-35.98,$143.94
2023-03-27,PD BERRY BLUE PINT,$4.11,2,$-1.37,$5.48
2023-03-27,PD MUSH LARGE 10LB,$23.38,2,$-7.80,$31.18
2023-03-27,GRAPESEED OIL 100%,$79.99,1,$79.99,$79.99
2023-03-27,PD SQUASH ITALN MD,$60.56,1,$60.56,$60.56
2023-03-27,PD POTATO RED A #2,$56.80,2,$28.40,$28.40
2023-03-27,PD CABB GREEN SACK,$17.18,1,$17.18,$17.18
2023-03-27,PD YAM JEWEL JBO,$17.64,1,$17.64,$17.64
2023-03-27,PD BRUSSEL SPROUT,$31.85,1,$31.85,$31.85
2023-03-27,Sub-Total,$399.47,1,$399.47,$399.47
2023-03-27,Tax,$34.45,1,$34.45,$34.45
2023-03-27,Total,$433.92,1,$433.92,$433.92
2023-03-27,DEBIT    0445,$433.92,1,$433.92,$433.92
2023-03-27,Balance,$0.00,1,$0.00,$0.00
2023-02-10,SPC GARLIC GRAN    7#,$21.95,1,$21.95,$21.95
2023-02-10,SPC GRAN ONION     5#,$27.62,1,$27.62,$27.62
2023-02-10,DAWN ORIGINAL PUMP,$16.23,1,$16.23,$16.23
2023-02-10,PD PPR BELL RED LG,$19.76,1,$19.76,$19.76
2023-02-10,CHX HAL LEG QTR SM,$49.60,2,$24.80,$24.80
2023-02-10,CHX HAL BRST JMB,$252.00,5,$50.40,$50.40
2023-02-10,BF INS RND XT SEL  R/W,$587.72,4,$-20.03,$219.64
2023-02-10,PD PPR BELL GREEN,$16.49,1,$16.49,$16.49
2023-02-10,PD ORANGE 88CT,$15.59,2,$-8.40,$23.99
2023-02-10,PD SQUASH ITALN MD,$53.68,4,$13.42,$13.42
2023-02-10,PD BROC CROWNS DW,$122.40,1,$122.40,$122.40
2023-02-10,PD CARROT JMBO 25#,$36.12,3,$12.04,$12.04
2023-02-10,PD BRUSSEL SPROUT,$35.74,1,$35.74,$35.74
2023-02-10,PD CELERY BULK,$44.73,1,$44.73,$44.73
2023-02-10,PD POTATO RED A #2,$54.68,2,$27.34,$27.34
2023-02-10,PD YAM JEWEL JBO,$17.64,1,$17.64,$17.64
2023-02-10,Sub-Total,$1371.95,1,$1371.95,$1371.95
2023-02-10,Tax,$118.33,1,$118.33,$118.33
2023-02-10,Total,$1490.28,1,$1490.28,$1490.28
2023-02-10,DEBIT    0445,$1490.28,1,$1490.28,$1490.28
2023-02-10,Balance,$0.00,1,$0.00,$0.00
2023-07-21,JARRITOS VP GLASS  12.5Z,$22.39,1,$22.39,$22.39
2023-07-21,Sub-Total,$22.39,1,$22.39,$22.39
2023-07-21,Tax,$1.93,1,$1.93,$1.93
2023-07-21,Total,$24.32,1,$24.32,$24.32
2023-07-21,MC/VISA  6866,$24.32,1,$24.32,$24.32
2023-07-21,Balance,$0.00,1,$0.00,$0.00
2024-02-05,SCE SWEET CHILI    32Z,$25.99,1,$25.99,$25.99
2024-02-05,PD HRB BASIL 1LB,$7.34,5,$-12.24,$12.24
2024-02-05,PD CAUL 1CT,$10.40,4,$2.60,$2.60
2024-02-05,PD CARROT JMBO 25#,$13.99,1,$13.99,$13.99
2024-02-05,PD BROC CROWNS DW,$38.04,3,$12.68,$12.68
2024-02-05,PD SQUASH ITALN MD,$47.61,1,$47.61,$47.61
2024-02-05,QUINOA WHITE       5#,$46.08,2,$23.04,$23.04
2024-02-05,FSH SNAPPER 1-2,$51.88,1,$51.88,$51.88
2024-02-05,SHRP P&D TO 16-20,$48.11,1,$48.11,$48.11
2024-02-05,PD BRUSSEL SPROUT,$67.08,2,$33.54,$33.54
2024-02-05,PD YAM JEWEL JBO,$18.19,1,$18.19,$18.19
2024-02-05,DAWN HVY DTY PUMP  1GAL,$25.67,1,$25.67,$25.67
2024-02-05,PD CELERY BULK,$24.63,1,$24.63,$24.63
2024-02-05,ORANGE THUN CITRUS,$35.78,1,$35.78,$35.78
2024-02-05,PD POTATO RED A #2,$30.30,2,$-16.32,$46.62
2024-02-05,Sub-Total,$491.09,1,$491.09,$491.09
2024-02-05,Tax,$42.36,1,$42.36,$42.36
2024-02-05,Total,$533.45,1,$533.45,$533.45
2024-02-05,DEBIT    6866,$533.45,1,$533.45,$533.45
2024-02-05,Balance,$0.00,1,$0.00,$0.00
2024-01-22,SYRUP MOLASSES CQ,$19.79,1,$19.79,$19.79
2024-01-22,CONT REC BLK 28Z,$173.40,4,$43.35,$43.35
2024-01-22,SALT SEA FINE DD,$21.01,1,$21.01,$21.01
2024-01-22,Sub-Total,$214.20,1,$214.20,$214.20
2024-01-22,Tax,$18.47,1,$18.47,$18.47
2024-01-22,Total,$232.67,1,$232.67,$232.67
2024-01-22,DEBIT    6866,$232.67,1,$232.67,$232.67
2024-01-22,Balance,$0.00,1,$0.00,$0.00
2023-03-07,PD BRUSSEL SPROUT,$29.44,1,$29.44,$29.44
2023-03-07,CHX HAL BRST JMB,$636.00,10,$63.60,$63.60
2023-03-07,PD POTATO RED A #2,$59.70,3,$19.90,$19.90
2023-03-07,PD CARROT JMBO 25#,$28.35,3,$9.45,$9.45
2023-03-07,PD YAM JEWEL JBO,$17.64,1,$17.64,$17.64
2023-03-07,BF INS RND XT SEL  R/W,$819.74,4,$-15.79,$288.32
2023-03-07,Sub-Total,$1590.87,1,$1590.87,$1590.87
2023-03-07,Tax,$137.21,1,$137.21,$137.21
2023-03-07,Total,$1728.08,1,$1728.08,$1728.08
2023-03-07,DEBIT    0445,$1728.08,1,$1728.08,$1728.08
2023-03-07,Balance,$0.00,1,$0.00,$0.00
2024-02-05,PD ORG SUPER MIX,$18.70,2,$9.35,$9.35
2024-02-05,HEARTS OF PALM SLC 28Z,$9.68,2,$4.84,$4.84
2024-02-05,PD ON GRN ICELESS,$12.89,1,$12.89,$12.89
2024-02-05,PD LETT ROMAINE HT,$5.07,1,$5.07,$5.07
2024-02-05,Sub-Total,$46.34,1,$46.34,$46.34
2024-02-05,Tax,$4.00,1,$4.00,$4.00
2024-02-05,Total,$50.34,1,$50.34,$50.34
2024-02-05,DEBIT    6866,$50.34,1,$50.34,$50.34
2024-02-05,Balance,$0.00,1,$0.00,$0.00
2023-08-23,PD ONION YEL JBO,$22.16,1,$22.16,$22.16
2023-08-23,WINE CKING SHERRY  4/1GL,$20.17,1,$20.17,$20.17
2023-08-23,PD BRUSSEL SPROUT,$39.71,2,$-39.70,$79.41
2023-08-23,Sub-Total,$82.04,1,$82.04,$82.04
2023-08-23,Tax,$7.08,1,$7.08,$7.08
2023-08-23,Total,$89.12,1,$89.12,$89.12
2023-08-23,DEBIT    6866,$89.12,1,$89.12,$89.12
2023-08-23,Balance,$0.00,1,$0.00,$0.00
2024-04-15,CHX BRST JMB,$463.20,6,$77.20,$77.20
2024-04-15,BF INS RND XT SEL  R/W,$283.58,2,$-14.58,$298.16
2024-04-15,SPC GARLIC GRAN    7#,$25.23,1,$25.23,$25.23
2024-04-15,SPC CAJUN SEASONIN 6LB,$21.84,1,$21.84,$21.84
2024-04-15,CHX LEG QTR SM,$80.40,3,$26.80,$26.80
2024-04-15,Sub-Total,$874.25,1,$874.25,$874.25
2024-04-15,Tax,$75.40,1,$75.40,$75.40
2024-04-15,Total,$949.65,1,$949.65,$949.65
2024-04-15,DEBIT    6866,$949.65,1,$949.65,$949.65
2024-04-15,Balance,$0.00,1,$0.00,$0.00
2024-04-01,PD CARROT JMBO 25#,$35.61,1,$35.61,$35.61
2024-04-01,QUINOA WHITE       5#,$46.08,2,$23.04,$23.04
2024-04-01,FSH SALM CHUM 8Z,$144.34,3,$47.86,$48.24
2024-04-01,PD BROC CROWNS DW,$72.15,3,$24.05,$24.05
2024-04-01,PD YAM JEWEL JBO,$18.19,1,$18.19,$18.19
2024-04-01,SHRP EZPEEL 16-20,$222.31,4,$-111.86,$111.86
2024-04-01,SCE SWEET CHILI    32Z,$27.91,1,$27.91,$27.91
2024-04-01,TOM PETITE DICED,$27.53,1,$27.53,$27.53
