Item,Count,Total Cost
IOU PAYMNT X1389,1,$-149.03
DEBIT    9634,1,$200.00
SQUID T&T CLN 3-5,1,$12.32
RF SHRP U/15 GULF,1,$39.95
KIK BAG MYLAR,1,$1.86
PD DATE MEDJOOL 2,1,$11.38
PD BEET 5 LB,1,$46.62
PD EGGPLANT 24CT,1,$18.05
FSH SQUID RING,1,$51.37
CUP SFL 5.5Z,1,$47.65
FLOUR SACKS 1DZ,1,$16.96
VINEGAR BALSMC 3DM 2/5LTR,1,$21.19
DISHER FOOD BL#16,1,$10.56
TEA UNSWETND CONC,1,$12.07
IOU PAYMNT 6984,1,$-294.93
PD LEMON CH 140,1,$34.08
FSH SALM CHUM 6Z,1,$58.90
MOP MAXICLEAN GRN,1,$8.74
SHRP P&D TO 26-30,1,$39.90
BLEACH AROCEP GERM 128Z,1,$19.99
SPC THYME          2LB,1,$18.90
VINEGAR CIDER 4%   1GL,1,$6.96
