Item: CAM RND 22QT WHT, Total: $58.11, Count: 3, Min: $19.37, Max: $19.37
Item: PD MUSH CRIMINI 5#, Total: $57.62, Count: 10, Min: $-7.50, Max: $18.02
Item: PD LEMON CH 75/115, Total: $57.13, Count: 3, Min: $-10.85, Max: $36.99
Item: PD MUSH SMALL 10LB, Total: $56.49, Count: 6, Min: $-63.74, Max: $63.74
Item: PD HRB DILL 1LB, Total: $56.43, Count: 13, Min: $-6.67, Max: $6.98
Item: PD CARROT BULK 50#, Total: $54.46, Count: 7, Min: $-18.68, Max: $19.42
Item: VALENTINA BLACK, Total: $53.99, Count: 3, Min: $5.73, Max: $24.16
Item: SPRAY HEAD LL, Total: $53.40, Count: 1, Min: $53.40, Max: $53.40
Item: SCE SRIRACHA       28Z, Total: $53.37, Count: 1, Min: $53.37, Max: $53.37
Item: FSH SNAPPER 1-2, Total: $51.88, Count: 1, Min: $51.88, Max: $51.88
Item: FSH SQUID RING, Total: $51.37, Count: 1, Min: $51.37, Max: $51.37
Item: PDU LEMON 5#, Total: $51.32, Count: 6, Min: $-9.64, Max: $38.55
Item: STRAINER 14"DBLE M ESH RE, Total: $51.00, Count: 1, Min: $51.00, Max: $51.00
Item: PD PPR HABANERO CS, Total: $50.88, Count: 2, Min: $-1.57, Max: $52.45
Item: VINEGAR BLSMC 1DMD 5LTR, Total: $49.48, Count: 3, Min: $15.34, Max: $17.19
Item: PDU GINGER FR 5LBS, Total: $49.06, Count: 8, Min: $-20.30, Max: $29.76
Item: CUP SFL 5.5Z, Total: $47.65, Count: 1, Min: $47.65, Max: $47.65
Item: PD BEET 5 LB, Total: $46.62, Count: 1, Min: $46.62, Max: $46.62
Item: FSH FAROE SALM 8Z, Total: $46.25, Count: 1, Min: $46.25, Max: $46.25
Item: GLOVE NITRILE LRG, Total: $46.21, Count: 3, Min: $5.11, Max: $35.99
Item: BEAN GARBANZO, Total: $46.12, Count: 3, Min: $6.16, Max: $21.51
Item: RED LIGHT KIDNEY   25#, Total: $45.20, Count: 2, Min: $21.81, Max: $23.39
Item: SHRP P&D TO 21-25, Total: $43.90, Count: 1, Min: $43.90, Max: $43.90
Item: SALT SEA FINE DD, Total: $43.77, Count: 2, Min: $21.01, Max: $22.76
Item: PD LETT ROMAINE HT, Total: $42.35, Count: 4, Min: $-10.79, Max: $43.15
Item: PD AVOCADO HASS HG, Total: $42.07, Count: 4, Min: $-20.39, Max: $45.31
Item: QUALITE MIX GLASS, Total: $41.99, Count: 4, Min: $-9.33, Max: $37.32
Item: PD MELON HONEY, Total: $41.45, Count: 5, Min: $-9.88, Max: $21.90
Item: GLV EXAM NIT BL M, Total: $40.32, Count: 2, Min: $5.04, Max: $35.28
Item: OIL SEASAME PURE   56Z, Total: $40.23, Count: 2, Min: $19.80, Max: $20.43
Item: RF SHRP U/15 GULF, Total: $39.95, Count: 1, Min: $39.95, Max: $39.95
Item: SHRP P&D TO 26-30, Total: $39.90, Count: 1, Min: $39.90, Max: $39.90
Item: PD GINGER FRSH 28#, Total: $38.83, Count: 1, Min: $38.83, Max: $38.83
Item: PD BEAN GRN TRIMED, Total: $38.72, Count: 3, Min: $-17.40, Max: $43.49
Item: NICOLE DINNER FORK DZN, Total: $38.70, Count: 3, Min: $12.90, Max: $12.90
Item: PD WATERMELON BIN, Total: $38.33, Count: 4, Min: $-27.82, Max: $55.65
Item: PD CARROT BAG 10#, Total: $36.00, Count: 1, Min: $36.00, Max: $36.00
Item: PD PPR SERRANO CS, Total: $35.51, Count: 2, Min: $-11.84, Max: $47.35
Item: SALT KOSHER MORTON, Total: $35.22, Count: 1, Min: $35.22, Max: $35.22
Item: PD MELON CANT, Total: $35.22, Count: 3, Min: $-8.02, Max: $23.18
Item: TOM SUNDRY JULIENN 5LB, Total: $35.06, Count: 3, Min: $-6.15, Max: $24.61
Item: PD LEMON CH 140, Total: $34.08, Count: 1, Min: $34.08, Max: $34.08
Item: TEA SWETND CONC, Total: $33.89, Count: 2, Min: $16.91, Max: $16.98
Item: BF GRND 80%        R/W, Total: $33.87, Count: 1, Min: $33.87, Max: $33.87
Item: FIGS BLACK         28Z, Total: $33.02, Count: 2, Min: $15.54, Max: $17.48
Item: SPC PEPPR BLK CAFE 5LB, Total: $32.40, Count: 1, Min: $32.40, Max: $32.40
Item: PD CAUL 1CT, Total: $30.85, Count: 5, Min: $2.60, Max: $20.45
Item: PD HRB THYME 1LB, Total: $30.48, Count: 7, Min: $-5.64, Max: $12.54
Item: FSH TUNA STEAK 4Z, Total: $30.00, Count: 2, Min: $-30.00, Max: $60.00
Item: VINEGAR WHITE HENZ 1GL, Total: $28.79, Count: 1, Min: $28.79, Max: $28.79
Item: SAUCE REDHOT PLSTC 1GL  1, Total: $28.56, Count: 2, Min: $14.17, Max: $14.39
Item: PD ORG ARUGULA BBY, Total: $28.26, Count: 6, Min: $-3.14, Max: $12.56
Item: SYRUP MAPLE 64Z, Total: $25.68, Count: 1, Min: $25.68, Max: $25.68
Item: RED LENTILS, Total: $24.63, Count: 1, Min: $24.63, Max: $24.63
Item: PD HRB OREGANO, Total: $24.50, Count: 7, Min: $-6.34, Max: $14.08
Item: PD ORANGE 113CT, Total: $24.47, Count: 1, Min: $24.47, Max: $24.47
Item: XX CHX LEG QTR FRZ 40#, Total: $24.00, Count: 4, Min: $-4.00, Max: $16.00
Item: PD PPR PASILLA CS, Total: $23.35, Count: 2, Min: $-15.56, Max: $38.91
